日付,注文ID,商品名,カテゴリ,数量,単価,担当者,顧客名,地域
2026-04-09,SO-0052,クリアファイル 100枚,文具,5,1500,伊藤,エータ設計事務所,東京
2026-04-09,SO-0053,ラベルシール 30面,文具,8,980,鈴木,エータ設計事務所,東京
2026-04-10,SO-0054,ボールペン 黒 10本入,文具,5,880,伊藤,合同会社ベータ,東京
2026-04-10,SO-0055,コピー用紙 A4 5000枚,文具,3,3980,伊藤,有限会社ガンマ企画,大阪
2026-04-13,SO-0056,コピー用紙 A4 5000枚,文具,9,3980,高橋,エータ設計事務所,東京
2026-04-15,SO-0057,コピー用紙 A4 5000枚,文具,6,3980,鈴木,株式会社アルファ商事,東京
2026-04-15,SO-0058,ボールペン 黒 10本入,文具,12,880,田中,エータ設計事務所,東京
2026-04-16,SO-0059,LED デスクライト,什器,4,4500,佐藤,合同会社ベータ,東京
2026-04-16,SO-0060,コピー用紙 A4 5000枚,文具,5,3980,伊藤,エータ設計事務所,東京
2026-04-17,SO-0061,コピー用紙 A4 5000枚,文具,4,3980,高橋,株式会社アルファ商事,東京
2026-04-17,SO-0062,ウェットティッシュ 業務用,消耗品,1,1280,鈴木,有限会社ガンマ企画,大阪
2026-04-17,SO-0063,ウェットティッシュ 業務用,消耗品,2,1280,高橋,有限会社ガンマ企画,大阪
2026-04-20,SO-0064,ボールペン 黒 10本入,文具,1,880,佐藤,デルタ工業株式会社,大阪
2026-04-20,SO-0065,ボールペン 黒 10本入,文具,7,880,鈴木,ゼータ物産,福岡
2026-04-21,SO-0066,ウェットティッシュ 業務用,消耗品,1,1280,佐藤,合同会社ベータ,東京
2026-04-21,SO-0067,LED デスクライト,什器,3,4500,鈴木,ゼータ物産,福岡
2026-04-23,SO-0068,トナーカートリッジ,消耗品,1,12800,高橋,デルタ工業株式会社,大阪
2026-04-24,SO-0069,ウェットティッシュ 業務用,消耗品,9,1280,鈴木,シータ薬局,福岡
2026-04-24,SO-0070,コピー用紙 A4 5000枚,文具,8,3980,佐藤,イプシロン株式会社,名古屋
2026-04-27,SO-0071,ボールペン 黒 10本入,文具,9,880,佐藤,エータ設計事務所,東京
2026-04-28,SO-0072,クリアファイル 100枚,文具,5,1500,佐藤,シータ薬局,福岡
2026-04-29,SO-0073,モニターアーム,什器,1,8900,佐藤,有限会社ガンマ企画,大阪
2026-04-29,SO-0074,LED デスクライト,什器,3,4500,佐藤,シータ薬局,福岡
2026-04-29,SO-0075,ウェットティッシュ 業務用,消耗品,10,1280,高橋,シータ薬局,福岡
2026-04-29,SO-0076,付箋 5色セット,文具,12,620,佐藤,ゼータ物産,福岡
2026-05-01,SO-0077,トナーカートリッジ,消耗品,3,12800,鈴木,株式会社アルファ商事,東京
2026-05-04,SO-0078,ウェットティッシュ 業務用,消耗品,4,1280,鈴木,デルタ工業株式会社,大阪
2026-05-05,SO-0079,クリアファイル 100枚,文具,2,1500,田中,デルタ工業株式会社,大阪
2026-05-06,SO-0080,ウェットティッシュ 業務用,消耗品,9,1280,佐藤,ゼータ物産,福岡
2026-05-08,SO-0081,ラベルシール 30面,文具,3,980,鈴木,株式会社アルファ商事,東京
2026-05-08,SO-0082,コピー用紙 A4 5000枚,文具,6,3980,伊藤,有限会社ガンマ企画,大阪
2026-05-11,SO-0083,ボールペン 黒 10本入,文具,8,880,佐藤,合同会社ベータ,東京
2026-05-11,SO-0084,コピー用紙 A4 5000枚,文具,1,3980,鈴木,株式会社アルファ商事,東京
2026-05-12,SO-0085,クリアファイル 100枚,文具,2,1500,田中,シータ薬局,福岡
2026-05-14,SO-0086,トナーカートリッジ,消耗品,3,12800,佐藤,イプシロン株式会社,名古屋
2026-05-14,SO-0087,ボールペン 黒 10本入,文具,4,880,高橋,シータ薬局,福岡
2026-05-15,SO-0088,ボールペン 黒 10本入,文具,3,880,田中,ゼータ物産,福岡
2026-05-15,SO-0089,ラベルシール 30面,文具,1,980,鈴木,イプシロン株式会社,名古屋
2026-05-15,SO-0090,クリアファイル 100枚,文具,5,1500,佐藤,エータ設計事務所,東京
2026-05-18,SO-0091,コピー用紙 A4 5000枚,文具,3,3980,高橋,エータ設計事務所,東京
2026-05-19,SO-0092,クリアファイル 100枚,文具,6,1500,高橋,合同会社ベータ,東京
2026-05-19,SO-0093,コピー用紙 A4 5000枚,文具,4,3980,佐藤,合同会社ベータ,東京
2026-05-20,SO-0094,コピー用紙 A4 5000枚,文具,5,3980,伊藤,デルタ工業株式会社,大阪
2026-05-21,SO-0095,コピー用紙 A4 5000枚,文具,4,3980,佐藤,イプシロン株式会社,名古屋
2026-05-21,SO-0096,ボールペン 黒 10本入,文具,10,880,鈴木,エータ設計事務所,東京
2026-05-21,SO-0097,LED デスクライト,什器,2,4500,佐藤,合同会社ベータ,東京
2026-05-25,SO-0098,LED デスクライト,什器,1,4500,鈴木,合同会社ベータ,東京
2026-05-27,SO-0099,コピー用紙 A4 5000枚,文具,3,3980,高橋,エータ設計事務所,東京
2026-05-27,SO-0100,ウェットティッシュ 業務用,消耗品,4,1280,鈴木,有限会社ガンマ企画,大阪
2026-05-27,SO-0101,モニターアーム,什器,1,8900,鈴木,エータ設計事務所,東京
2026-05-27,SO-0102,コピー用紙 A4 5000枚,文具,6,3980,伊藤,合同会社ベータ,東京
2026-05-27,SO-0103,コピー用紙 A4 5000枚,文具,8,3980,鈴木,合同会社ベータ,東京
2026-05-28,SO-0104,ウェットティッシュ 業務用,消耗品,10,1280,田中,合同会社ベータ,東京
2026-05-28,SO-0105,ウェットティッシュ 業務用,消耗品,9,1280,伊藤,株式会社アルファ商事,東京
2026-05-29,SO-0106,モニターアーム,什器,2,8900,佐藤,エータ設計事務所,東京
2026-06-01,SO-0107,付箋 5色セット,文具,10,620,佐藤,ゼータ物産,福岡
2026-06-02,SO-0108,コピー用紙 A4 5000枚,文具,2,3980,佐藤,イプシロン株式会社,名古屋
2026-06-02,SO-0109,ボールペン 黒 10本入,文具,12,880,高橋,デルタ工業株式会社,大阪
2026-06-03,SO-0110,クリアファイル 100枚,文具,3,1500,鈴木,イプシロン株式会社,名古屋
2026-06-03,SO-0111,トナーカートリッジ,消耗品,2,12800,鈴木,合同会社ベータ,東京
2026-06-03,SO-0112,ウェットティッシュ 業務用,消耗品,3,1280,佐藤,ゼータ物産,福岡
2026-06-04,SO-0113,付箋 5色セット,文具,1,620,高橋,ゼータ物産,福岡
2026-06-04,SO-0114,クリアファイル 100枚,文具,3,1500,鈴木,ゼータ物産,福岡
2026-06-04,SO-0115,オフィスチェア,什器,1,24800,高橋,エータ設計事務所,東京
2026-06-04,SO-0116,ウェットティッシュ 業務用,消耗品,4,1280,田中,株式会社アルファ商事,東京
2026-06-05,SO-0117,ウェットティッシュ 業務用,消耗品,5,1280,佐藤,有限会社ガンマ企画,大阪
2026-06-05,SO-0118,ウェットティッシュ 業務用,消耗品,2,1280,伊藤,有限会社ガンマ企画,大阪
2026-06-08,SO-0119,トナーカートリッジ,消耗品,3,12800,高橋,イプシロン株式会社,名古屋
2026-06-10,SO-0120,付箋 5色セット,文具,15,620,佐藤,シータ薬局,福岡
2026-06-10,SO-0121,モニターアーム,什器,1,8900,鈴木,エータ設計事務所,東京
2026-06-10,SO-0122,コピー用紙 A4 5000枚,文具,4,3980,佐藤,エータ設計事務所,東京
2026-06-11,SO-0123,トナーカートリッジ,消耗品,1,12800,鈴木,イプシロン株式会社,名古屋
2026-06-12,SO-0124,モニターアーム,什器,2,8900,田中,合同会社ベータ,東京
2026-06-16,SO-0125,ボールペン 黒 10本入,文具,11,880,伊藤,エータ設計事務所,東京
2026-06-17,SO-0126,付箋 5色セット,文具,5,620,田中,株式会社アルファ商事,東京
2026-06-19,SO-0127,ラベルシール 30面,文具,8,980,佐藤,合同会社ベータ,東京
2026-06-23,SO-0128,LED デスクライト,什器,4,4500,田中,イプシロン株式会社,名古屋
2026-06-23,SO-0129,付箋 5色セット,文具,14,620,高橋,イプシロン株式会社,名古屋
2026-06-24,SO-0130,ボールペン 黒 10本入,文具,2,880,佐藤,エータ設計事務所,東京
2026-06-24,SO-0131,ウェットティッシュ 業務用,消耗品,10,1280,鈴木,イプシロン株式会社,名古屋
2026-06-25,SO-0132,トナーカートリッジ,消耗品,1,12800,鈴木,エータ設計事務所,東京
2026-06-25,SO-0133,トナーカートリッジ,消耗品,3,12800,田中,ゼータ物産,福岡
2026-06-26,SO-0134,ウェットティッシュ 業務用,消耗品,7,1280,高橋,デルタ工業株式会社,大阪
2026-06-26,SO-0135,ウェットティッシュ 業務用,消耗品,4,1280,佐藤,株式会社アルファ商事,東京
2026-06-29,SO-0136,コピー用紙 A4 5000枚,文具,3,3980,鈴木,デルタ工業株式会社,大阪
2026-06-29,SO-0137,付箋 5色セット,文具,3,620,高橋,有限会社ガンマ企画,大阪
2026-06-29,SO-0138,ウェットティッシュ 業務用,消耗品,10,1280,田中,エータ設計事務所,東京
2026-06-29,SO-0139,クリアファイル 100枚,文具,6,1500,佐藤,株式会社アルファ商事,東京
2026-06-29,SO-0140,ボールペン 黒 10本入,文具,12,880,鈴木,イプシロン株式会社,名古屋
2026-06-30,SO-0141,ラベルシール 30面,文具,7,980,田中,ゼータ物産,福岡
2026-07-02,SO-0142,コピー用紙 A4 5000枚,文具,7,3980,高橋,デルタ工業株式会社,大阪
2026-07-02,SO-0143,付箋 5色セット,文具,3,620,佐藤,イプシロン株式会社,名古屋
2026-07-02,SO-0144,ウェットティッシュ 業務用,消耗品,9,1280,佐藤,株式会社アルファ商事,東京
2026-07-03,SO-0145,コピー用紙 A4 5000枚,文具,4,3980,高橋,デルタ工業株式会社,大阪
2026-07-06,SO-0146,ラベルシール 30面,文具,2,980,田中,株式会社アルファ商事,東京
2026-07-06,SO-0147,トナーカートリッジ,消耗品,1,12800,高橋,ゼータ物産,福岡
2026-07-07,SO-0148,付箋 5色セット,文具,6,620,佐藤,エータ設計事務所,東京
2026-07-07,SO-0149,ボールペン 黒 10本入,文具,9,880,伊藤,合同会社ベータ,東京
2026-07-08,SO-0150,コピー用紙 A4 5000枚,文具,10,3980,田中,ゼータ物産,福岡
2026-07-08,SO-0151,ボールペン 黒 10本入,文具,8,880,高橋,シータ薬局,福岡
2026-07-08,SO-0152,クリアファイル 100枚,文具,1,1500,佐藤,エータ設計事務所,東京
2026-07-08,SO-0153,クリアファイル 100枚,文具,2,1500,佐藤,エータ設計事務所,東京
2026-07-13,SO-0154,コピー用紙 A4 5000枚,文具,5,3980,伊藤,シータ薬局,福岡
2026-07-14,SO-0155,ボールペン 黒 10本入,文具,2,880,田中,エータ設計事務所,東京
2026-07-15,SO-0156,トナーカートリッジ,消耗品,1,12800,佐藤,有限会社ガンマ企画,大阪
2026-07-17,SO-0157,トナーカートリッジ,消耗品,2,12800,佐藤,エータ設計事務所,東京
2026-07-20,SO-0158,クリアファイル 100枚,文具,6,1500,田中,デルタ工業株式会社,大阪
2026-07-23,SO-0159,ボールペン 黒 10本入,文具,1,880,鈴木,合同会社ベータ,東京
2026-07-24,SO-0160,ボールペン 黒 10本入,文具,8,880,鈴木,有限会社ガンマ企画,大阪
2026-07-24,SO-0161,LED デスクライト,什器,1,4500,佐藤,ゼータ物産,福岡
2026-07-27,SO-0162,ラベルシール 30面,文具,2,980,田中,エータ設計事務所,東京
2026-07-27,SO-0163,オフィスチェア,什器,2,24800,高橋,有限会社ガンマ企画,大阪
2026-07-27,SO-0164,トナーカートリッジ,消耗品,2,12800,高橋,イプシロン株式会社,名古屋
2026-07-28,SO-0165,コピー用紙 A4 5000枚,文具,1,3980,高橋,有限会社ガンマ企画,大阪
2026-07-28,SO-0166,付箋 5色セット,文具,7,620,高橋,合同会社ベータ,東京
2026-07-29,SO-0167,ウェットティッシュ 業務用,消耗品,5,1280,伊藤,デルタ工業株式会社,大阪
2026-07-30,SO-0168,ウェットティッシュ 業務用,消耗品,7,1280,田中,株式会社アルファ商事,東京
2026-07-31,SO-0169,トナーカートリッジ,消耗品,1,12800,鈴木,有限会社ガンマ企画,大阪
2026-08-03,SO-0170,ラベルシール 30面,文具,8,980,田中,エータ設計事務所,東京
2026-08-03,SO-0171,付箋 5色セット,文具,10,620,田中,エータ設計事務所,東京
2026-08-04,SO-0172,トナーカートリッジ,消耗品,1,12800,田中,株式会社アルファ商事,東京
2026-08-05,SO-0173,ラベルシール 30面,文具,5,980,佐藤,合同会社ベータ,東京
2026-08-05,SO-0174,ウェットティッシュ 業務用,消耗品,3,1280,伊藤,ゼータ物産,福岡
2026-08-06,SO-0175,コピー用紙 A4 5000枚,文具,1,3980,伊藤,シータ薬局,福岡
2026-08-06,SO-0176,ボールペン 黒 10本入,文具,8,880,佐藤,ゼータ物産,福岡
2026-08-06,SO-0177,ウェットティッシュ 業務用,消耗品,10,1280,高橋,株式会社アルファ商事,東京
2026-08-07,SO-0178,コピー用紙 A4 5000枚,文具,8,3980,高橋,ゼータ物産,福岡
2026-08-11,SO-0179,ラベルシール 30面,文具,3,980,伊藤,合同会社ベータ,東京
2026-08-11,SO-0180,LED デスクライト,什器,3,4500,高橋,合同会社ベータ,東京
2026-08-12,SO-0181,ボールペン 黒 10本入,文具,5,880,鈴木,イプシロン株式会社,名古屋
2026-08-12,SO-0182,コピー用紙 A4 5000枚,文具,7,3980,伊藤,有限会社ガンマ企画,大阪
2026-08-13,SO-0183,コピー用紙 A4 5000枚,文具,9,3980,鈴木,合同会社ベータ,東京
2026-08-14,SO-0184,トナーカートリッジ,消耗品,3,12800,佐藤,株式会社アルファ商事,東京
2026-08-14,SO-0185,付箋 5色セット,文具,15,620,佐藤,合同会社ベータ,東京
2026-08-14,SO-0186,モニターアーム,什器,2,8900,佐藤,ゼータ物産,福岡
2026-08-17,SO-0187,LED デスクライト,什器,1,4500,田中,シータ薬局,福岡
2026-08-17,SO-0188,コピー用紙 A4 5000枚,文具,3,3980,鈴木,有限会社ガンマ企画,大阪
2026-08-20,SO-0189,付箋 5色セット,文具,13,620,佐藤,有限会社ガンマ企画,大阪
2026-08-20,SO-0190,付箋 5色セット,文具,11,620,佐藤,エータ設計事務所,東京
2026-08-21,SO-0191,クリアファイル 100枚,文具,5,1500,佐藤,株式会社アルファ商事,東京
2026-08-21,SO-0192,コピー用紙 A4 5000枚,文具,1,3980,高橋,デルタ工業株式会社,大阪
2026-08-21,SO-0193,ウェットティッシュ 業務用,消耗品,4,1280,伊藤,シータ薬局,福岡
2026-08-25,SO-0194,ボールペン 黒 10本入,文具,4,880,田中,デルタ工業株式会社,大阪
2026-08-26,SO-0195,ボールペン 黒 10本入,文具,2,880,鈴木,シータ薬局,福岡
2026-08-27,SO-0196,ボールペン 黒 10本入,文具,10,880,伊藤,イプシロン株式会社,名古屋
2026-08-28,SO-0197,クリアファイル 100枚,文具,1,1500,佐藤,デルタ工業株式会社,大阪
2026-08-28,SO-0198,コピー用紙 A4 5000枚,文具,6,3980,高橋,イプシロン株式会社,名古屋
2026-08-31,SO-0199,ウェットティッシュ 業務用,消耗品,2,1280,田中,合同会社ベータ,東京
2026-08-31,SO-0200,トナーカートリッジ,消耗品,1,12800,伊藤,合同会社ベータ,東京
